,t1,nu11,Theta
10.sfs,9.754526364008363e-05,0.0004932938502623506,282688.78577406023
36.sfs,0.00010245908624488137,0.0004932938500420499,244514.35898327135
18.sfs,9.216210025821524e-05,0.0004932938509235716,280123.563734764
14.sfs,8.497837661341097e-05,0.0004932938524206676,248170.57729691698
41.sfs,9.466211593807425e-05,0.0004932938505763604,246597.7925660663
06.sfs,9.775847963540927e-05,0.0004932938502429891,259234.95936476684
33.sfs,9.388300619933534e-05,0.0004932938506745798,270583.97701886774
09.sfs,9.104223693623475e-05,0.0004937873917279617,261078.48401810415
39.sfs,0.00010245908624488713,0.0004932938500420499,219539.92478212636
08.sfs,8.867337809170913e-05,0.0004932938515809516,227584.6699378652
25.sfs,0.00010245908624488698,0.0004932938500420499,279377.2520576344
22.sfs,0.00010245908624488248,0.0004932938500420499,233307.6617367832
16.sfs,0.00010245908624489148,0.0004932938500420499,297635.40259457444
45.sfs,0.00010245908624487801,0.0004932938500420499,265127.2909968445
01.sfs,0.00010245908624485147,0.0004932938500420499,289696.3704790608
12.sfs,0.00010245908624488447,0.0004932938500420499,195356.1471351772
47.sfs,7.704641336734493e-05,0.0004932938539586584,241415.43220097086
46.sfs,7.771856640527441e-05,0.0004932938539071782,228679.83364123668
43.sfs,0.00010245908624489164,0.0004932938500420499,231139.56305766912
48.sfs,0.00010149830875070292,0.0004937873906343842,257021.06265452626
49.sfs,0.00010245908624488981,0.0004932938500420499,210755.80685690092
31.sfs,9.64129250462361e-05,0.0004932938503586088,261763.55047499534
30.sfs,9.941436625744472e-05,0.0004937873907090707,260990.5234328804
20.sfs,0.00010245908624489176,0.0004932938500420499,299873.6863663696
07.sfs,9.273685652223842e-05,0.0004932938508546695,255580.5431604835
38.sfs,9.98672671433304e-05,0.0004932938501044848,244967.23891086146
19.sfs,0.00010245908624489176,0.0004932938500420499,197869.9193319592
03.sfs,0.00010245908624488825,0.0004932938500420499,267184.14391683496
05.sfs,7.2967722234035e-05,0.0004932938553867142,237856.36348234068
29.sfs,7.096793020614829e-05,0.000493293856329933,263854.8791202701
11.sfs,0.00010245908624488786,0.0004932938500420499,239481.56264400994
32.sfs,0.00010245908624489128,0.0004932938500420499,275551.44833251316
15.sfs,0.00010245908624488122,0.0004932938500420499,228043.30233665442
35.sfs,9.740701530023169e-05,0.0004932938502728855,286169.3499544184
13.sfs,9.381571637137864e-05,0.0004932938506673208,250295.06318730774
50.sfs,5.692738316380037e-05,0.00049329386088883,201526.59037152436
26.sfs,0.00010245908624489075,0.0004932938500420499,264785.43707607593
44.sfs,0.00010245908624488931,0.0004932938500420499,209558.3632349613
34.sfs,0.00010245908624486089,0.0004932938500420499,191145.5190243608
24.sfs,9.741014280399175e-05,0.0004932938502735081,267419.6845863197
40.sfs,0.00010245908624489176,0.0004932938500420499,182719.48830666972
21.sfs,0.00010245908624489063,0.0004932938500420499,236647.4217589067
02.sfs,0.00010245908624489175,0.0004932938500420499,213873.55281036205
23.sfs,9.207892015439389e-05,0.0004932938509456995,246128.06593013977
17.sfs,8.467239329797004e-05,0.0004932938524985119,219821.87432811034
37.sfs,0.00010245908624489176,0.0004932938500420499,232164.16992078087
42.sfs,0.00010245908624489156,0.0004932938500420499,295819.1842780425
27.sfs,0.00010245908624489176,0.0004932938500420499,202047.12597006132
04.sfs,8.697040970778827e-05,0.0004937873925592547,245827.9352534758
28.sfs,9.513758483852099e-05,0.0004932938504967377,286160.99470432545
